STATE,COUNTY,NAME,OWNER,CITY,TYPE,PURPOSE,MGD MAX,START DESAL,DISPOSAL CONCENTRATE,WATER SOURCE,DESAL REASON / TREATMENT,CONCENTRATE POST-TREATMENT,DESAL DESIGN PRODUCTION (mgd),DESAL AVERAGE PRODUCTION (mgd),PLANT DESIGN PRODUCTION (mgd),PLANT AVERAGE PRODUCTION (mgd),BLENDING?,RAW WATER TDS OR CONDUCTIVITY,PRE-TREATMENT,FEED PRESSURE TO DESAL (psi),MEMBRANE RECOVERY (%),PERMEATE TDS OR CONDUCTIVITY,BLEND TDS OR CONDUCTIVITY,BLEND RATIO (PERMEATE : OTHER),BLEND WATER SOURCE,PERMEATE POST-TREATMENT,AGE OF MEMBRANE / LAST REPLACEMENT (yr),FATE OF WASTEWATER CLEANING,FATE OF WASTE BACKWASH,SOURCE SECTION,SOURCE EXCEL ROW
FL,LEE,Green Meadows WTP,Lee County Utilities,Ft. Myers,Reverse osmosis,Drinking water,7.5,2018,Deep well injection,Groundwater,plant expansion and replacement of old existing facility,none,7.5,not on line yet,will vary,not on line yet,yes,1860 mg/L TDS equivalent,"sand filter, cartridge filter, acid",167,85,36,223,roughly 9 : 6,bypass and IX treated surficial water,"sulfuric acid, degasification, disinfection (chloramination), pH control (caustic), fluoride, corrosion inhibitor",new plant,Deep well injection,none,FLORIDA FACILIITIES,9
FL,Charlotte & Lee,Babcock Ranch Water System,Babcock Ranch,Babcock Ranch,Nanofiltration,Drinking water,0.25,2017,combined with wastewater treatment plant effluent; used for irrigation,Groundwater,"hardness, color",none,0.25,none,none,none,yes,512-608 mg/L TDS equivalent,"antiscalant, cartridge filters, sulfuric acid",108-117,84,"200-250, depends on source wells",none,~8 : 1,raw water bypass,"blending, degasification, disinfection, caustic, CO2",had to replace original membranes due to super chlorination incident at start-up,none,none,FLORIDA FACILIITIES,10
FL,BROWARD,NSID NF WTP,North Springs Water Improvement District,Coral Springs,Nanofiltration,Drinking water,6.75,2016,Sewer discharge,Groundwater,"taste and odor, total organic carbon, hardness, hydrogen sulfide",none,none,none,none,none,yes,none,"strainer, cartridge filter, H2SO4, scale inhibitor",none,none,none,none,80 to 95 % permeate,source water after cartridge filter,"H2SO4, degasification (for H2S), hypochlorite; NaOH of pH stability; corrosion inhibitor; ammonium sulfite to form chloramine to reduce DBP formation",none,none,none,FLORIDA FACILIITIES,11
FL,BROWARD,Coral Springs IMP Dist./DIW++ CSID,Coral Springs Improvement District,Coral Springs,Reverse osmosis,Drinking water,6.75,2016,Deep well injection (discharge is to tail end of wastewater treatment plant for Deep well injection),Groundwater,better water quality,none,6.75,~4,none,none,yes,600-700 mg/L TDS equivalent,"sand strainer, antiscalant, cartridge filters",93-105,85,20-45 mg/l,140 mg/L,8-15% bypass,bypass after sand strainer and cartridge filters,none,on original membranes,Deep well injection,none,FLORIDA FACILIITIES,12
FL,PALM BEACH,Hood Road Membrane WP,Seacoast Utilities Authority,none,Nanofiltration,Drinking water,26,2015,blend with wastewater treatment plant effluent for irrigation; when not possible --> Deep well injection,Groundwater,replace lime softening,none,26,both an NF and RO plant; varies with demand; at higher demand NF portion is greater; typical = 17.5,29.5 (26 MF + 3.5 RO),varies with demand,no,512 mg/L TDS equivalent,"sand filter, antiscalant, cartridge filter, acid (sulfuric)",95,80,350 µS/cm,NAP,NAP,NAP,"degasification, disinfection (chloramination), pH adjustment (caustic), corrosion inhibitor (phosphate)",on original membranes,sewer,none,FLORIDA FACILIITIES,13
FL,PINELLAS,Tarpon Springs RO Facility,City of Tarpon Springs,Tarpon Springs,Reverse osmosis,Drinking water,6.4,2015,Deep well injection,Groundwater,total dissolved solids,none,6.4,2.5,none,none,yes,11520-12800 mg/L TDS equivalent,"acid, antiscalant, cartridge filters",350 (to 1st stage); 450 (to 2nd stage),72,297 µS/cm,none,presently only 5 gpm bypass,bypass,"pH adjustment (CO2), alkalinity and hardness (lime and caustic), disinfection (hypochlorite), fluoride",on original membranes,Deep well injection (haven't cleaned yet),none,FLORIDA FACILIITIES,14
FL,PINELLAS,Clearwater #2,City of Clearwater,Clearwater,Reverse osmosis,Drinking water,6.25,2015,Deep well injection,Groundwater,"total dissolved solids, iron, hardness",none,6.25,2.5,none,none,yes,2800-4500 (depends on well mix) mg/L TDS equivalent,"antiscalant, cartridge filters",180-190,80,none,none,none,surficial aquifer water,"ozone (for sulfide removal); chloramination, caustic, stabilization",design flaw led to early scaling with damage to some membranes; still using original membranes on the 1 skid that’s operating,sewer,none,FLORIDA FACILIITIES,15
FL,PALM BEACH,Hood Road Membrane WP,Seacoast Utilities Authority,none,Reverse osmosis,Drinking water,3.5,2015,Deep well injection,Groundwater,total dissolved solids,none,3.5,both an NF and RO plant; varies with demand; at higher demand NF portion is greater; typical = 17.5,29.5 (26 MF + 3.5 RO),varies with demand,no,3840 mg/L TDS equivalent,"antiscalant, cartridge filter, acid (sulfuric)",240,75,NAV,NAP,NAP,NAP,"degassing, disinfection (chloramination), pH adjustment (caustic), corrosion inhibitor (phosphate)",on original membranes,sewer,none,FLORIDA FACILIITIES,16
FL,HENDRY,Labelle WTP No. 2,City of Labelle,Labelle,Reverse osmosis,Drinking water,1.5,2014,Deep well injection,Groundwater,previously out of compliance with trihalomethanes; new source water required total dissolved solids removal,none,1.5,0.75,1.68,none,yes,depends on which wells are used; 2176 and 2752 mg/L TDS equivalent,"antiscalant, pre-filter",150-160,70,<100 mg/l,700 µS/cm,~ 9 : 1,raw water bypass,"degasification, chlorination, fluoridation",on original membranes,none,none,FLORIDA FACILIITIES,17
FL,MIAMI-DADE,City of Hialeah RO WTP,City of Hialeah Water and Sewer Department,Hialeah,Reverse osmosis,Drinking water,7.5,2013,Deep well injection,Groundwater,none,none,7.5,none,none,none,no,3200-3520 mg/L TDS equivalent,"acid, antiscalant, cartridge filters",180-194,80,none,none,none,none,"lime, caustic, chlorine",on original membranes,Deep well injection,none,FLORIDA FACILIITIES,18
FL,BROWARD,Town of Davie WTP/WRF,Town of Davie,Davie,Reverse osmosis,Drinking water,6,2013,Deep well injection,Groundwater,no new permits for surficial aquifer,none,6,2.6,none,none,no,4480-5760 mg/L TDS equivalent,"antiscalant, cartridge filters",230,80,300-450 mg/l,none,none,none,"aeration, disinfection (hypochlorite), fluoride",on original membranes,Deep well injection (haven't cleaned yet),none,FLORIDA FACILIITIES,19
FL,BROWARD,West WTP - Deerfield - RO,City of Deerfield Beach,Deerfield,Reverse osmosis,Drinking water,3,2012,Deep well injection,Groundwater,none,none,3,none,14.5; both an NF and RO plant (11.5 mgd NF built in 2004);,none,yes,1152-1280 mg/L TDS equivalent,"acid, antiscalant, cartridge filter",186-210,78,NAV,NAV,~ 3 : 11.5,NF permeate,"orthophosphate, caustic, chlorine",on original membranes,sewer,none,FLORIDA FACILIITIES,20
FL,PINELLAS,Oldsmar WRF,City of Oldsmar,Oldsmar,Reverse osmosis,Drinking water,3,2012,Deep well injection,Groundwater,none,none,design = 3; permitted = 2,1,3.3,1.3,yes,1792-2240 mg/L TDS equivalent,"antiscalant, cartridge filters",135-145,75,75-100 mg/l,75,3.7569444444444446,conventional WTP product,"degasification,, CO2/caustic, chlorine, fluoride, corrosion inhibitor",on original membranes,"neutralization, sewer",none,FLORIDA FACILIITIES,21
FL,ST. LUCIE,Dania Beach,City of Dania Beach,Dania Beach,Nanofiltration,Drinking water,2,2012,Sewer discharge,Groundwater,"iron, hardness",none,2,1,5,2.2000000000000002,yes,400 mg/L TDS equivalent,"acid, antiscalant",42,90,50-60,130-150,8.5416666666666655E-2,bypass,none,on original membranes,none,none,FLORIDA FACILIITIES,22
FL,BROWARD,Springtree,City of Sunrise Utility Complex,Sunrise,Reverse osmosis,Drinking water,1.5,2012,Deep well injection,Groundwater,total dissolved solids,none,1.5,in 2017 = 0.389; plant does not operate every day,RO = 15.; lime softening = 24; total = 25.5,2017 average = 10.06,yes,1605 mg/L TDS equivalent,"antiscalant, cartridge filters",~160,75,55,70,1.5 : 11,lime softened water (different aquifer),"degasification, chloramination, fluoridation",on original membranes,none,none,FLORIDA FACILIITIES,23
FL,MARTIN,North WTP,South Martin Regional Utility,none,Nanofiltration,Drinking water,0.41,2012,Sewer discharge,Groundwater,"hardness, color",none,0.41,none,none,none,yes,none,none,none,none,none,none,none,none,none,none,none,none,FLORIDA FACILIITIES,24
FL,PALM BEACH,City of Lake Worth Lake Worth RO WTP,City of Lake Worth,Lake Worth,Reverse osmosis,Drinking water,4.5,2011,Deep well injection,Groundwater,total dissolved solids; needed new water source,none,4.5,2.7,17.4 (4.5 for RO; 12.9 for lime softening),~5.5,yes,3000-4000 mg/L TDS equivalent,"antiscalant, acid, cartridge filters",200 stage 1; 230 stage 2,75,none,none,currently 2.5 : 3.0,lime softened water,"aeration, chloramination",on original membranes,none,none,FLORIDA FACILIITIES,25
FL,LEE,North Cape Coral RO WTP,City of Cape Coral Utilities Department,Cape Coral,Reverse osmosis,Drinking water,12,2010,Deep well injection,Groundwater,total dissolved solids,neutralize,12,none,none,8.5,yes,2700 mg/L TDS equivalent,"acid, antiscalant, cartridge filters",160,80,100-118,none,15-25% bypass,bypass,"blend, degasification, chlorine (for disinfection and residual H2S removal, caustic (pH adjustment)",on original membranes,"neutralization, deep well injection",none,FLORIDA FACILIITIES,26
FL,PUTNAM,East Putnam County RO WTP,Putnam County,East Palatka,Reverse osmosis,Drinking water,1,2010,Surface water discharge,Groundwater,needed an alternative water souce,none,none,0.22500000000000001,none,none,yes,800 mg/L TDS equivalent,none,none,80,25 mg/l,250 mg/l,~ 2.4 : 1,bypass,none,9 years (just replaced),none,none,FLORIDA FACILIITIES,27
CA,LOS ANGELES,Cal Pomona WTP,Cal Pomona Department of Water Operations,none,Reverse osmosis,Drinking water,0.41,2017,brine lie to Los Angeles sanitation,Groundwater,more sustainable water supply,none,0.41,none,none,none,yes,800 mg/L TDS equivalent,"antiscalant, cartridge filters",120,75,none,none,~ 3 : 1,bypass,"pH adjustment, CO2 stripping, chlorine",none,none,none,CALIFORNIA FACILITIES,35
CA,SAN BERNARDINO,Wochholz Regional WRF,Yucaipa Valley Water District,none,Microfiltration / reverse osmosis,Water reclamation facility,2,2017,"some brine line, some recycle",Groundwater,for reuse,none,2,2,8,4,yes,none,"acid, antiscalant, cartridge filters",80,80,no target,no target,~ 1 : 1,bypass after MF,"blend, UV",none,none,none,CALIFORNIA FACILITIES,36
CA,LOS ANGELES,Signal Hill WTP,City of Signal Hill,Signal Hill,Nanofiltration,Drinking water,1.8,2017,Sewer discharge,Groundwater,color,none,1.8,0.9 (running 1 of 2 skids),none,none,no,none,cartridge filters,77,98,none,none,none,none,none,on original membranes,sewer,none,CALIFORNIA FACILITIES,37
CA,SAN BERNARDINO,Irwin Water Works,Fort Irwin,Fort Irwin,primarily electrodialysis reversal (electrodialysis reversal / microfiltration / reverse osmosis / evaporation),Drinking water,6,2016,Evaporation pond,Groundwater,"highly variable flow and complexity; nitrate, silica, total dissolved solids, fluoride, arsenic","EDR concentrate is lime softened, followed by MF, RO, IX, MVC evaporation",6,1.0-2.0,6,1.0-2.0,no,720 mg/L TDS equivalent,"chlorination, cartridge filters before EDR; degasification, stripper prior to MF/RO, IX before evaporator",none,92 (EDR); ~99+ overall,100,none,none,none,"CO2, lime, chlorine",EDR membrane not replaced; 3rd stage RO replaced after 18 months,evaporation pond,evaporation pond,CALIFORNIA FACILITIES,38
CA,SAN DIEGO,Carlsbad Desal Project,none,Carlsbad,Seawater reverse osmosis,Drinking water,50,2015,Outfall,Seawater,need/demand for drinking water,none,54,50,54,50,none,none,"multimedia filter, cartridge filters, microfiltration",none,50,none,NA,none,none,"stabilization, disinfection (chloramination), carbon dioxide, lime, fluoride",on original membranes,none,none,CALIFORNIA FACILITIES,39
CA,ORANGE,Aliso Creek WRF,South Coast Water District (SCWD),none,Ultrafiltration / reverse osmosis,Water reclamation facility,0.65,2015,Coastal Treatment Plant Ocean Outfall,"from SCWD Advanced Water Treatment Facility (sand filter, chlorination) via their reservoir)","total dissolved solids, nitrate, hardness; for reuse",none,0.65,0.5,none,none,no,1100-1500 mg/L TDS equivalent,"chlorine, UF, cartridge filter, acid, antiscalant",165-230,80 (RO); 85 (UF),800 mg/l,none,none,none,decarbonation; then pumped to AWT system to reduce salinity,on original membranes,"neutralization, sewer",none,CALIFORNIA FACILITIES,40
CA,VENTURA,Advanced Water Purification Facility,City of Oxnard,Oxnard,Microfiltration / reverse osmosis / advanced oxidation process,Wastewater treatment plant,6.25,2015,brine line to Huemene outfall,secondary effluent,for reuse,none,6.25,based on demand; high flow avg. = ~4; low flow avg. ~ 1-2,none,none,no,1280-2240 mg/L TDS equivalent,"cartridge filter, chlorination, MF",40,depends on demand; 85% at high flow,none,none,none,none,"UV, pH adjustment by decarbonation and lime",on original membranes,none,none,CALIFORNIA FACILITIES,41
CA,SAN LUIS OBISPO,Cambria Sustainable Water Facility,Cambria Community Services District (CCSD),Cambria,Reverse osmosis,Drinking water,0.6,2014,Evaporation pond,Groundwater,originally for emergency supply; has been offline; may undergo system redesign,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,CALIFORNIA FACILITIES,42
CA,VENTURA,Round Mountain Desalter,Camrosa Water District,Camrosa,Reverse osmosis,Drinking water,1,2014,brine line to Huemene outfall,Groundwater,"total dissolved solids, increased water demand, reduces import need",none,1,close to 1,none,none,yes,1200 mg/L TDS equivalent,"Fe/Mn oxidation (chlorine), dechlorination, antiscalant, cartridge filters",125-150,75,none,none,~ 600 : 85,bypass,"blend, pH adjustment (caustic), chloramination",had membranes replaced under warranty during start-up due to start-up issues,"neutralization, sewer",none,CALIFORNIA FACILITIES,43
CA,ORANGE,Wells 21/22 Desalter,Irvine Ranch Water District,none,Reverse osmosis,Drinking water,1.44,2013,Orange County Sanitation District / HUNTINGTON BEACH ocean outfall,Groundwater,"nitrate, total dissolved solids",none,1.44,0.28999999999999998,none,none,yes,790-820 mg/L TDS equivalent,"antiscalant, cartridge filters",145-175 (depends on wells used),85,300-350 µS/cm,none,currently 77 : 23,bypass,"ph. adjustment (caustic), chloramination",on original membranes,same as concentrate,none,CALIFORNIA FACILITIES,44
CA,ORANGE,Mesa Water Reliability Facility,Mesa Water District,Costa Mesa,Nanofiltration,Drinking water,8.6,2012,sewer; some concentrate is recycled,Groundwater,color,antifoam agent,8.6,none,none,none,no,390-460 mg/L TDS equivalent,"sand filter, antiscalant, cartridge filters",none,98,none,none,none,none,"pH adjustment, air stripping, pH adjustment again, chloramination",on original membranes,sewer,none,CALIFORNIA FACILITIES,45
CA,SANTA MONICA,Santa Monica Water Treatment Works,City of Santa Monica,Santa Monica,Reverse osmosis,Drinking water,10,2011,Sewer discharge,Groundwater,total dissolved solids,none,10,6.9,none,none,yes,500 mg/L TDS equivalent,"greensand filter, GAC, cartridge filters, antiscalant",90,82,200 µS/cm,~ 400 µS/cm,80 : 20,bypass after same filtering process,"blend, air stripper, caustic, fluoride, chloramination",~ 6 years,sewer,none,CALIFORNIA FACILITIES,46
CA,ALAMEDA,RARE Richmond Adv. Recycled Expansion,south Coast Water District (SCWD),none,Microfiltration / reverse osmosis,Wastewater treatment plant,3.5,2010,goes to Chevron wastewater treatment plant after primary treatment; final effluent: some to wetlands; some goes to ocean outfall to San Pablo Bay,secondary effluent,for reuse,treatment at refinery WWTP,3.5,3.2,none,none,no,600-700 mg/L TDS equivalent,"Amiad filters, MF, cartridge filters",150-200,85,none,none,none,none,sent to Chevron for reuse in boilers,~ 5 years,"neutralization, sewer",none,CALIFORNIA FACILITIES,47
TX,Hood,City of Granbury WTP,City of Granbury,Granbury,Microfiltration / reverse osmosis,Drinking water,2.5,2017,Surface water discharge,Surface water,bromide,none,2.5,0.7,none,0.875,yes,851.2 mg/L TDS equivalent,"MF, cartridge filters, antiscalant",115-120,75,30 mg/l,250 mg/l,75 : 25,MF treated bypass,"pH adjustment, chloramination",on original membranes,with concentrate,none,TEXAS FACILITIES,57
TX,Hidalgo,La Rusias WTP,Military Highway Water Supply Corp.,Los Indios,Reverse osmosis,Drinking water,1.44,2017,Surface water discharge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,58
TX,none,"City of Abilene - Possum Kingdom Regional Roughing Facility built during draught, then lake filled up, not operating yet",owner ship has not been turned over to City of Abilene,Abilene,Reverse osmosis,Wastewater treatment plant,1.2,2017,Evaporation pond and sewer discharge,sewer,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,59
TX,Bexar,H2OAKS Center,City of San Antonio,Elmendorf,Reverse osmosis,Drinking water,10,2016,Deep well injection,Groundwater,none,none,10,7.22,12,none,yes,1300 mg/L TDS equivalent,"cartridge filter, pH adjustment, antiscalant",none,90,30-50,400 mg/l,none,none,"blending, degasification, pH adjustment (sulfuric acid), corrosion control, disinfection, alkalinity adjustment (calcite contactor), stabilization (NaOH)",none,none,none,TEXAS FACILITIES,60
TX,Wheeler,City of Wheeler TP,City of Wheeler,Wheeler,Reverse osmosis,Drinking water,0.5,2016,Land application (available for watering job locations and roads),Groundwater,nitrates,none,0.5,none,none,none,yes,depends on wells uses; 480-576 mg/L TDS equivalent,"antiscalant, cartridge filters",127-140,75,15 µS/cm,target based on nitrate level,8.4027777777777771E-2,bypass,chlorine,on original membranes,with concentrate,none,TEXAS FACILITIES,61
TX,Gaines,La Tierra RO WTP,BW Primoris,Seminole,Reverse osmosis,Drinking water,0.65,2016,Land application,Groundwater,"total dissolved solids, arsenic",none,0.65,0.50-0.65,none,none,yes,1000-1200 mg/L TDS equivalent,"acid, antiscalant, cartridge filters",220-250,65-72,40-50 mg/l,250 mg/l,2 : 1,bypass,"blend, caustic, chlorine",on original membranes,send membranes off site for cleaning,none,TEXAS FACILITIES,62
